file_id,pcap_path,metadata_path,raw_source_type,raw_source_path,traffic_class,source,capture_date,session_id,environment_id,device_id,dataset_id,capture_duration,packet_count,byte_count,flow_count,validation_status,data_origin,capture_source,notes
other_002,data/raw/pcap/other_002.pcap,,SYNTHETIC_FIXTURE,data/raw/pcap/other_002.pcap,Other,local_controlled,2026-08-12,sess_other_02,lab_env_b,workstation_02,dataset_v1,7.2,55,14000,8,PASS,synthetic,SYNTHETIC_TEST,Synthetic NTP/DNS lookups
real_20260823_144333_web_001_5c95,,data/raw/metadata/20260823_144333_web_001_5c95.csv,METADATA_CSV,data/raw/metadata/20260823_144333_web_001_5c95.csv,Web,controlled_wifi_capture,2026-08-23,20260823_144333_web_001_5c95,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,6082,4670741,6,PASS,real,REAL_LIVE_CAPTURE,"Interactive HTTPS web browsing, searching, and reading text/documentation"
real_20260823_145151_web_001_0bbf,,data/raw/metadata/20260823_145151_web_001_0bbf.csv,METADATA_CSV,data/raw/metadata/20260823_145151_web_001_0bbf.csv,Web,controlled_wifi_capture,2026-08-23,20260823_145151_web_001_0bbf,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1012,252905,2,PASS,real,REAL_LIVE_CAPTURE,"Interactive HTTPS web browsing, searching, and reading text/documentation"
real_20260823_145551_web_001_da0c,,data/raw/metadata/20260823_145551_web_001_da0c.csv,METADATA_CSV,data/raw/metadata/20260823_145551_web_001_da0c.csv,Web,controlled_wifi_capture,2026-08-23,20260823_145551_web_001_da0c,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1367,566121,2,PASS,real,REAL_LIVE_CAPTURE,"Interactive HTTPS web browsing, searching, and reading text/documentation"
real_20260823_145946_web_001_c866,,data/raw/metadata/20260823_145946_web_001_c866.csv,METADATA_CSV,data/raw/metadata/20260823_145946_web_001_c866.csv,Web,controlled_wifi_capture,2026-08-23,20260823_145946_web_001_c866,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,3336,1123635,3,PASS,real,REAL_LIVE_CAPTURE,"Interactive HTTPS web browsing, searching, and reading text/documentation"
real_20260823_150110_web_001_9490,,data/raw/metadata/20260823_150110_web_001_9490.csv,METADATA_CSV,data/raw/metadata/20260823_150110_web_001_9490.csv,Web,controlled_wifi_capture,2026-08-23,20260823_150110_web_001_9490,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,3557,2234080,3,PASS,real,REAL_LIVE_CAPTURE,"Interactive HTTPS web browsing, searching, and reading text/documentation"
real_20260823_150323_web_001_2c60,,data/raw/metadata/20260823_150323_web_001_2c60.csv,METADATA_CSV,data/raw/metadata/20260823_150323_web_001_2c60.csv,Web,controlled_wifi_capture,2026-08-23,20260823_150323_web_001_2c60,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,944,231067,6,PASS,real,REAL_LIVE_CAPTURE,"Interactive HTTPS web browsing, searching, and reading text/documentation"
real_20260823_150454_web_001_17f5,,data/raw/metadata/20260823_150454_web_001_17f5.csv,METADATA_CSV,data/raw/metadata/20260823_150454_web_001_17f5.csv,Web,controlled_wifi_capture,2026-08-23,20260823_150454_web_001_17f5,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1237,270996,3,PASS,real,REAL_LIVE_CAPTURE,"Interactive HTTPS web browsing, searching, and reading text/documentation"
real_20260823_150634_web_001_ddf0,,data/raw/metadata/20260823_150634_web_001_ddf0.csv,METADATA_CSV,data/raw/metadata/20260823_150634_web_001_ddf0.csv,Web,controlled_wifi_capture,2026-08-23,20260823_150634_web_001_ddf0,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,826,201681,3,PASS,real,REAL_LIVE_CAPTURE,"Interactive HTTPS web browsing, searching, and reading text/documentation"
real_20260823_150817_web_001_e5b6,,data/raw/metadata/20260823_150817_web_001_e5b6.csv,METADATA_CSV,data/raw/metadata/20260823_150817_web_001_e5b6.csv,Web,controlled_wifi_capture,2026-08-23,20260823_150817_web_001_e5b6,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1065,278851,3,PASS,real,REAL_LIVE_CAPTURE,"Interactive HTTPS web browsing, searching, and reading text/documentation"
real_20260823_150936_web_001_534c,,data/raw/metadata/20260823_150936_web_001_534c.csv,METADATA_CSV,data/raw/metadata/20260823_150936_web_001_534c.csv,Web,controlled_wifi_capture,2026-08-23,20260823_150936_web_001_534c,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1909,555950,2,PASS,real,REAL_LIVE_CAPTURE,"Interactive HTTPS web browsing, searching, and reading text/documentation"
real_20260823_151441_video_001_104d,,data/raw/metadata/20260823_151441_video_001_104d.csv,METADATA_CSV,data/raw/metadata/20260823_151441_video_001_104d.csv,Video,controlled_wifi_capture,2026-08-23,20260823_151441_video_001_104d,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,17955,20001413,3,PASS,real,REAL_LIVE_CAPTURE,Adaptive video playback (YouTube / Vimeo / Twitch)
real_20260823_151621_video_001_efa4,,data/raw/metadata/20260823_151621_video_001_efa4.csv,METADATA_CSV,data/raw/metadata/20260823_151621_video_001_efa4.csv,Video,controlled_wifi_capture,2026-08-23,20260823_151621_video_001_efa4,lab_env_win11,dev_lab_01,dataset_real_v1,60.0,5048,4709222,3,PASS,real,REAL_LIVE_CAPTURE,Adaptive video playback (YouTube / Vimeo / Twitch)
real_20260823_153012_video_001_641b,,data/raw/metadata/20260823_153012_video_001_641b.csv,METADATA_CSV,data/raw/metadata/20260823_153012_video_001_641b.csv,Video,controlled_wifi_capture,2026-08-23,20260823_153012_video_001_641b,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,15001,13878199,3,PASS,real,REAL_LIVE_CAPTURE,Adaptive video playback (YouTube / Vimeo / Twitch)
real_20260823_153142_video_001_2480,,data/raw/metadata/20260823_153142_video_001_2480.csv,METADATA_CSV,data/raw/metadata/20260823_153142_video_001_2480.csv,Video,controlled_wifi_capture,2026-08-23,20260823_153142_video_001_2480,lab_env_win11,dev_lab_01,dataset_real_v1,60.0,1489,906987,2,PASS,real,REAL_LIVE_CAPTURE,Adaptive video playback (YouTube / Vimeo / Twitch)
real_20260823_154438_video_001_566f,,data/raw/metadata/20260823_154438_video_001_566f.csv,METADATA_CSV,data/raw/metadata/20260823_154438_video_001_566f.csv,Video,controlled_wifi_capture,2026-08-23,20260823_154438_video_001_566f,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,15629,17478645,4,PASS,real,REAL_LIVE_CAPTURE,Adaptive video playback (YouTube / Vimeo / Twitch)
real_20260823_154613_video_001_c9ea,,data/raw/metadata/20260823_154613_video_001_c9ea.csv,METADATA_CSV,data/raw/metadata/20260823_154613_video_001_c9ea.csv,Video,controlled_wifi_capture,2026-08-23,20260823_154613_video_001_c9ea,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,12398,13702833,4,PASS,real,REAL_LIVE_CAPTURE,Adaptive video playback (YouTube / Vimeo / Twitch)
real_20260823_154721_video_001_0564,,data/raw/metadata/20260823_154721_video_001_0564.csv,METADATA_CSV,data/raw/metadata/20260823_154721_video_001_0564.csv,Video,controlled_wifi_capture,2026-08-23,20260823_154721_video_001_0564,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,19175,22305529,3,PASS,real,REAL_LIVE_CAPTURE,Adaptive video playback (YouTube / Vimeo / Twitch)
real_20260823_154851_video_001_b4dc,,data/raw/metadata/20260823_154851_video_001_b4dc.csv,METADATA_CSV,data/raw/metadata/20260823_154851_video_001_b4dc.csv,Video,controlled_wifi_capture,2026-08-23,20260823_154851_video_001_b4dc,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,3194,2628498,3,PASS,real,REAL_LIVE_CAPTURE,Adaptive video playback (YouTube / Vimeo / Twitch)
real_20260823_155010_video_001_c5d9,,data/raw/metadata/20260823_155010_video_001_c5d9.csv,METADATA_CSV,data/raw/metadata/20260823_155010_video_001_c5d9.csv,Video,controlled_wifi_capture,2026-08-23,20260823_155010_video_001_c5d9,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,12641,13161489,3,PASS,real,REAL_LIVE_CAPTURE,Adaptive video playback (YouTube / Vimeo / Twitch)
real_20260823_155216_video_001_1ce3,,data/raw/metadata/20260823_155216_video_001_1ce3.csv,METADATA_CSV,data/raw/metadata/20260823_155216_video_001_1ce3.csv,Video,controlled_wifi_capture,2026-08-23,20260823_155216_video_001_1ce3,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,940,256010,3,PASS,real,REAL_LIVE_CAPTURE,Adaptive video playback (YouTube / Vimeo / Twitch)
real_20260823_155349_messaging_001_f90a,,data/raw/metadata/20260823_155349_messaging_001_f90a.csv,METADATA_CSV,data/raw/metadata/20260823_155349_messaging_001_f90a.csv,Messaging,controlled_wifi_capture,2026-08-23,20260823_155349_messaging_001_f90a,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,7342,7444988,6,PASS,real,REAL_LIVE_CAPTURE,Text chat messages and presence heartbeats (Signal / Slack / Discord text)
real_20260823_155823_messaging_001_2056,,data/raw/metadata/20260823_155823_messaging_001_2056.csv,METADATA_CSV,data/raw/metadata/20260823_155823_messaging_001_2056.csv,Messaging,controlled_wifi_capture,2026-08-23,20260823_155823_messaging_001_2056,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,52257,61407362,3,PASS,real,REAL_LIVE_CAPTURE,Text chat messages and presence heartbeats (Signal / Slack / Discord text)
real_20260823_160152_messaging_001_2144,,data/raw/metadata/20260823_160152_messaging_001_2144.csv,METADATA_CSV,data/raw/metadata/20260823_160152_messaging_001_2144.csv,Messaging,controlled_wifi_capture,2026-08-23,20260823_160152_messaging_001_2144,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,14688,16750881,2,PASS,real,REAL_LIVE_CAPTURE,Text chat messages and presence heartbeats (Signal / Slack / Discord text)
real_20260823_160304_messaging_001_b4de,,data/raw/metadata/20260823_160304_messaging_001_b4de.csv,METADATA_CSV,data/raw/metadata/20260823_160304_messaging_001_b4de.csv,Messaging,controlled_wifi_capture,2026-08-23,20260823_160304_messaging_001_b4de,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,15358,17211974,3,PASS,real,REAL_LIVE_CAPTURE,Text chat messages and presence heartbeats (Signal / Slack / Discord text)
real_20260823_160438_messaging_001_3d1b,,data/raw/metadata/20260823_160438_messaging_001_3d1b.csv,METADATA_CSV,data/raw/metadata/20260823_160438_messaging_001_3d1b.csv,Messaging,controlled_wifi_capture,2026-08-23,20260823_160438_messaging_001_3d1b,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,9435,9033864,3,PASS,real,REAL_LIVE_CAPTURE,Text chat messages and presence heartbeats (Signal / Slack / Discord text)
real_20260823_160546_messaging_001_240e,,data/raw/metadata/20260823_160546_messaging_001_240e.csv,METADATA_CSV,data/raw/metadata/20260823_160546_messaging_001_240e.csv,Messaging,controlled_wifi_capture,2026-08-23,20260823_160546_messaging_001_240e,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,10045,10884044,2,PASS,real,REAL_LIVE_CAPTURE,Text chat messages and presence heartbeats (Signal / Slack / Discord text)
real_20260823_160655_messaging_001_72b1,,data/raw/metadata/20260823_160655_messaging_001_72b1.csv,METADATA_CSV,data/raw/metadata/20260823_160655_messaging_001_72b1.csv,Messaging,controlled_wifi_capture,2026-08-23,20260823_160655_messaging_001_72b1,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1385,698146,3,PASS,real,REAL_LIVE_CAPTURE,Text chat messages and presence heartbeats (Signal / Slack / Discord text)
real_20260823_160828_messaging_001_7f33,,data/raw/metadata/20260823_160828_messaging_001_7f33.csv,METADATA_CSV,data/raw/metadata/20260823_160828_messaging_001_7f33.csv,Messaging,controlled_wifi_capture,2026-08-23,20260823_160828_messaging_001_7f33,lab_env_win11,dev_lab_01,dataset_real_v1,60.0,793,179606,3,PASS,real,REAL_LIVE_CAPTURE,Text chat messages and presence heartbeats (Signal / Slack / Discord text)
real_20260823_160947_messaging_001_869a,,data/raw/metadata/20260823_160947_messaging_001_869a.csv,METADATA_CSV,data/raw/metadata/20260823_160947_messaging_001_869a.csv,Messaging,controlled_wifi_capture,2026-08-23,20260823_160947_messaging_001_869a,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,871,188059,3,PASS,real,REAL_LIVE_CAPTURE,Text chat messages and presence heartbeats (Signal / Slack / Discord text)
real_20260823_161053_messaging_001_e319,,data/raw/metadata/20260823_161053_messaging_001_e319.csv,METADATA_CSV,data/raw/metadata/20260823_161053_messaging_001_e319.csv,Messaging,controlled_wifi_capture,2026-08-23,20260823_161053_messaging_001_e319,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,1143,406911,3,PASS,real,REAL_LIVE_CAPTURE,Text chat messages and presence heartbeats (Signal / Slack / Discord text)
real_20260823_161401_voip_001_b89f,,data/raw/metadata/20260823_161401_voip_001_b89f.csv,METADATA_CSV,data/raw/metadata/20260823_161401_voip_001_b89f.csv,VoIP,controlled_wifi_capture,2026-08-23,20260823_161401_voip_001_b89f,lab_env_win11,dev_lab_01,dataset_real_v1,60.0,1172,372079,6,PASS,real,REAL_LIVE_CAPTURE,Interactive two-way voice call (Discord Voice / Zoom Audio / WebRTC)
real_20260823_161509_voip_001_9812,,data/raw/metadata/20260823_161509_voip_001_9812.csv,METADATA_CSV,data/raw/metadata/20260823_161509_voip_001_9812.csv,VoIP,controlled_wifi_capture,2026-08-23,20260823_161509_voip_001_9812,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,1051,253215,4,PASS,real,REAL_LIVE_CAPTURE,Interactive two-way voice call (Discord Voice / Zoom Audio / WebRTC)
real_20260823_161649_voip_001_c01e,,data/raw/metadata/20260823_161649_voip_001_c01e.csv,METADATA_CSV,data/raw/metadata/20260823_161649_voip_001_c01e.csv,VoIP,controlled_wifi_capture,2026-08-23,20260823_161649_voip_001_c01e,lab_env_win11,dev_lab_01,dataset_real_v1,60.0,882,237468,3,PASS,real,REAL_LIVE_CAPTURE,Interactive two-way voice call (Discord Voice / Zoom Audio / WebRTC)
real_20260823_161758_voip_001_0549,,data/raw/metadata/20260823_161758_voip_001_0549.csv,METADATA_CSV,data/raw/metadata/20260823_161758_voip_001_0549.csv,VoIP,controlled_wifi_capture,2026-08-23,20260823_161758_voip_001_0549,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,630,129123,2,PASS,real,REAL_LIVE_CAPTURE,Interactive two-way voice call (Discord Voice / Zoom Audio / WebRTC)
real_20260823_161916_voip_001_7fd9,,data/raw/metadata/20260823_161916_voip_001_7fd9.csv,METADATA_CSV,data/raw/metadata/20260823_161916_voip_001_7fd9.csv,VoIP,controlled_wifi_capture,2026-08-23,20260823_161916_voip_001_7fd9,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1166,392339,2,PASS,real,REAL_LIVE_CAPTURE,Interactive two-way voice call (Discord Voice / Zoom Audio / WebRTC)
real_20260823_162123_voip_001_51e2,,data/raw/metadata/20260823_162123_voip_001_51e2.csv,METADATA_CSV,data/raw/metadata/20260823_162123_voip_001_51e2.csv,VoIP,controlled_wifi_capture,2026-08-23,20260823_162123_voip_001_51e2,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,733,191684,2,PASS,real,REAL_LIVE_CAPTURE,Interactive two-way voice call (Discord Voice / Zoom Audio / WebRTC)
real_20260823_162302_voip_001_6194,,data/raw/metadata/20260823_162302_voip_001_6194.csv,METADATA_CSV,data/raw/metadata/20260823_162302_voip_001_6194.csv,VoIP,controlled_wifi_capture,2026-08-23,20260823_162302_voip_001_6194,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1098,380581,3,PASS,real,REAL_LIVE_CAPTURE,Interactive two-way voice call (Discord Voice / Zoom Audio / WebRTC)
real_20260823_162426_voip_001_9219,,data/raw/metadata/20260823_162426_voip_001_9219.csv,METADATA_CSV,data/raw/metadata/20260823_162426_voip_001_9219.csv,VoIP,controlled_wifi_capture,2026-08-23,20260823_162426_voip_001_9219,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1450,396364,3,PASS,real,REAL_LIVE_CAPTURE,Interactive two-way voice call (Discord Voice / Zoom Audio / WebRTC)
real_20260823_162544_voip_001_9fd7,,data/raw/metadata/20260823_162544_voip_001_9fd7.csv,METADATA_CSV,data/raw/metadata/20260823_162544_voip_001_9fd7.csv,VoIP,controlled_wifi_capture,2026-08-23,20260823_162544_voip_001_9fd7,lab_env_win11,dev_lab_01,dataset_real_v1,60.0,933,209115,2,PASS,real,REAL_LIVE_CAPTURE,Interactive two-way voice call (Discord Voice / Zoom Audio / WebRTC)
real_20260823_162704_voip_001_571e,,data/raw/metadata/20260823_162704_voip_001_571e.csv,METADATA_CSV,data/raw/metadata/20260823_162704_voip_001_571e.csv,VoIP,controlled_wifi_capture,2026-08-23,20260823_162704_voip_001_571e,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,693,150102,3,PASS,real,REAL_LIVE_CAPTURE,Interactive two-way voice call (Discord Voice / Zoom Audio / WebRTC)
real_20260823_162946_file_transfer_001_5b75,,data/raw/metadata/20260823_162946_file_transfer_001_5b75.csv,METADATA_CSV,data/raw/metadata/20260823_162946_file_transfer_001_5b75.csv,File Transfer,controlled_wifi_capture,2026-08-23,20260823_162946_file_transfer_001_5b75,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,1032,257840,2,PASS,real,REAL_LIVE_CAPTURE,Bulk binary encrypted download/upload (SFTP / Large HTTPS binary)
real_20260823_163126_file_transfer_001_bea6,,data/raw/metadata/20260823_163126_file_transfer_001_bea6.csv,METADATA_CSV,data/raw/metadata/20260823_163126_file_transfer_001_bea6.csv,File Transfer,controlled_wifi_capture,2026-08-23,20260823_163126_file_transfer_001_bea6,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,709,144939,2,PASS,real,REAL_LIVE_CAPTURE,Bulk binary encrypted download/upload (SFTP / Large HTTPS binary)
real_20260823_163237_file_transfer_001_390f,,data/raw/metadata/20260823_163237_file_transfer_001_390f.csv,METADATA_CSV,data/raw/metadata/20260823_163237_file_transfer_001_390f.csv,File Transfer,controlled_wifi_capture,2026-08-23,20260823_163237_file_transfer_001_390f,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,759,183618,3,PASS,real,REAL_LIVE_CAPTURE,Bulk binary encrypted download/upload (SFTP / Large HTTPS binary)
real_20260823_163447_file_transfer_001_d03c,,data/raw/metadata/20260823_163447_file_transfer_001_d03c.csv,METADATA_CSV,data/raw/metadata/20260823_163447_file_transfer_001_d03c.csv,File Transfer,controlled_wifi_capture,2026-08-23,20260823_163447_file_transfer_001_d03c,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1008,256099,3,PASS,real,REAL_LIVE_CAPTURE,Bulk binary encrypted download/upload (SFTP / Large HTTPS binary)
real_20260823_163557_file_transfer_001_aa30,,data/raw/metadata/20260823_163557_file_transfer_001_aa30.csv,METADATA_CSV,data/raw/metadata/20260823_163557_file_transfer_001_aa30.csv,File Transfer,controlled_wifi_capture,2026-08-23,20260823_163557_file_transfer_001_aa30,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,657,135452,2,PASS,real,REAL_LIVE_CAPTURE,Bulk binary encrypted download/upload (SFTP / Large HTTPS binary)
real_20260823_163704_file_transfer_001_2090,,data/raw/metadata/20260823_163704_file_transfer_001_2090.csv,METADATA_CSV,data/raw/metadata/20260823_163704_file_transfer_001_2090.csv,File Transfer,controlled_wifi_capture,2026-08-23,20260823_163704_file_transfer_001_2090,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,755,182783,4,PASS,real,REAL_LIVE_CAPTURE,Bulk binary encrypted download/upload (SFTP / Large HTTPS binary)
real_20260823_163829_file_transfer_001_a40b,,data/raw/metadata/20260823_163829_file_transfer_001_a40b.csv,METADATA_CSV,data/raw/metadata/20260823_163829_file_transfer_001_a40b.csv,File Transfer,controlled_wifi_capture,2026-08-23,20260823_163829_file_transfer_001_a40b,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1249,319625,3,PASS,real,REAL_LIVE_CAPTURE,Bulk binary encrypted download/upload (SFTP / Large HTTPS binary)
real_20260823_163936_file_transfer_001_3420,,data/raw/metadata/20260823_163936_file_transfer_001_3420.csv,METADATA_CSV,data/raw/metadata/20260823_163936_file_transfer_001_3420.csv,File Transfer,controlled_wifi_capture,2026-08-23,20260823_163936_file_transfer_001_3420,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1714,526659,2,PASS,real,REAL_LIVE_CAPTURE,Bulk binary encrypted download/upload (SFTP / Large HTTPS binary)
real_20260823_164056_file_transfer_001_1a06,,data/raw/metadata/20260823_164056_file_transfer_001_1a06.csv,METADATA_CSV,data/raw/metadata/20260823_164056_file_transfer_001_1a06.csv,File Transfer,controlled_wifi_capture,2026-08-23,20260823_164056_file_transfer_001_1a06,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,812,161935,3,PASS,real,REAL_LIVE_CAPTURE,Bulk binary encrypted download/upload (SFTP / Large HTTPS binary)
real_20260823_164203_file_transfer_001_0aa3,,data/raw/metadata/20260823_164203_file_transfer_001_0aa3.csv,METADATA_CSV,data/raw/metadata/20260823_164203_file_transfer_001_0aa3.csv,File Transfer,controlled_wifi_capture,2026-08-23,20260823_164203_file_transfer_001_0aa3,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,663,137649,2,PASS,real,REAL_LIVE_CAPTURE,Bulk binary encrypted download/upload (SFTP / Large HTTPS binary)
real_20260823_164647_other_001_d4e4,,data/raw/metadata/20260823_164647_other_001_d4e4.csv,METADATA_CSV,data/raw/metadata/20260823_164647_other_001_d4e4.csv,Other,controlled_wifi_capture,2026-08-23,20260823_164647_other_001_d4e4,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,743,178665,3,PASS,real,REAL_LIVE_CAPTURE,"Encrypted background OS telemetry, DNS-over-HTTPS (DoH), and NTP"
real_20260823_164826_other_001_eac8,,data/raw/metadata/20260823_164826_other_001_eac8.csv,METADATA_CSV,data/raw/metadata/20260823_164826_other_001_eac8.csv,Other,controlled_wifi_capture,2026-08-23,20260823_164826_other_001_eac8,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,640,147998,5,PASS,real,REAL_LIVE_CAPTURE,"Encrypted background OS telemetry, DNS-over-HTTPS (DoH), and NTP"
real_20260823_164938_other_001_7ffe,,data/raw/metadata/20260823_164938_other_001_7ffe.csv,METADATA_CSV,data/raw/metadata/20260823_164938_other_001_7ffe.csv,Other,controlled_wifi_capture,2026-08-23,20260823_164938_other_001_7ffe,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,1233,388065,4,PASS,real,REAL_LIVE_CAPTURE,"Encrypted background OS telemetry, DNS-over-HTTPS (DoH), and NTP"
real_20260823_165157_other_001_2876,,data/raw/metadata/20260823_165157_other_001_2876.csv,METADATA_CSV,data/raw/metadata/20260823_165157_other_001_2876.csv,Other,controlled_wifi_capture,2026-08-23,20260823_165157_other_001_2876,lab_env_win11,dev_lab_01,dataset_real_v1,60.02,1075,456906,3,PASS,real,REAL_LIVE_CAPTURE,"Encrypted background OS telemetry, DNS-over-HTTPS (DoH), and NTP"
real_20260823_165837_other_001_2277,,data/raw/metadata/20260823_165837_other_001_2277.csv,METADATA_CSV,data/raw/metadata/20260823_165837_other_001_2277.csv,Other,controlled_wifi_capture,2026-08-23,20260823_165837_other_001_2277,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1446,537476,4,PASS,real,REAL_LIVE_CAPTURE,"Encrypted background OS telemetry, DNS-over-HTTPS (DoH), and NTP"
real_20260823_170006_other_001_2088,,data/raw/metadata/20260823_170006_other_001_2088.csv,METADATA_CSV,data/raw/metadata/20260823_170006_other_001_2088.csv,Other,controlled_wifi_capture,2026-08-23,20260823_170006_other_001_2088,lab_env_win11,dev_lab_01,dataset_real_v1,60.01,1298,510560,4,PASS,real,REAL_LIVE_CAPTURE,"Encrypted background OS telemetry, DNS-over-HTTPS (DoH), and NTP"
