dataset_id,session_id,metadata_path,sha256,traffic_class,capture_date,environment_id,device_id
dataset_real_v1,20260823_web_999,data\raw\metadata\20260823_web_999.csv,6be8cb86d32c79696cf7cd066f07b84dec5c1c5da3fbbc759ee0693eff4c6d6c,Web,2026-08-23,lab_env_win11,dev_lab_01
dataset_real_v1,20260823_web_999,data\raw\metadata\20260823_web_999.csv,385026ddd8595a56adb291bc5a53b89c1e52d1af9cfb1107ef3461249a144b36,Web,2026-08-23,lab_env_win11,dev_lab_01
dataset_real_v1,20260823_web_999,data\raw\metadata\20260823_web_999.csv,b6611fa0a3a4bc6ff3912536885d42a6a6b053ef433238dd6087fe96482cd709,Web,2026-08-23,lab_env_win11,dev_lab_01
dataset_real_v1,20260823_web_999,data\raw\metadata\20260823_web_999.csv,6a2a233bf8c6969b49133219384862654666efa7028afa079170bab4be11f9b1,Web,2026-08-23,lab_env_win11,dev_lab_01
dataset_real_v1,20260823_web_001,data\raw\metadata\20260823_web_001.csv,5cdd860686dbfe9a769ca8a31887295bac15253abc7d001b1927308a9190dc6a,Web,2026-08-23,lab_env_win11,dev_lab_01
dataset_real_v1,20260823_web_001,data\raw\metadata\20260823_web_001.csv,5beb315b6c45b1427471e9ced95dbd901f2aea872e61a3f4bba5afd8f3159997,Web,2026-08-23,lab_env_win11,dev_lab_01
dataset_real_v1,20260823_151621_video_001_efa4,data\raw\metadata\20260823_151621_video_001_efa4.csv,2d1b160ce49960b172241ed0c2382d6c7a727cf46aef763faec8ca5eaf59c333,Video,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_153012_video_001_641b,data\raw\metadata\20260823_153012_video_001_641b.csv,3cb4e405b7561389f78b49cf97f955f25bfaabd49fe9e1af04e0655b53895df7,Video,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_153142_video_001_2480,data\raw\metadata\20260823_153142_video_001_2480.csv,9ce540c22df869892454ad3bbaa369fa7c7659e9c23b3d3c02eac615ddeca55e,Video,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_154438_video_001_566f,data\raw\metadata\20260823_154438_video_001_566f.csv,21ea5a0e01ae8e94cf014222a3334f32c926ac056d63c497276fd0a34c712cf0,Video,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_154613_video_001_c9ea,data\raw\metadata\20260823_154613_video_001_c9ea.csv,14f08add83eb62c12cc47e526500694c8028d3508ba581c8145814a044107888,Video,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_154721_video_001_0564,data\raw\metadata\20260823_154721_video_001_0564.csv,2e8de3a02d808f7665284103923f893c166b729a021a0eafd2cc22b62ede2dd1,Video,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_154851_video_001_b4dc,data\raw\metadata\20260823_154851_video_001_b4dc.csv,0cd29ea33ac9de06e2f881951cfe11164db862d7b135b6aa86b216a82d831bcb,Video,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_155010_video_001_c5d9,data\raw\metadata\20260823_155010_video_001_c5d9.csv,cd83298ee8546980c47623d5c6df020b65f32628f1d468677dea126808aad482,Video,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_155216_video_001_1ce3,data\raw\metadata\20260823_155216_video_001_1ce3.csv,f76ec9241f82b24e121834a65533a70465e280557a940ce9cd21dea9c6a7aaf0,Video,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_155349_messaging_001_f90a,data\raw\metadata\20260823_155349_messaging_001_f90a.csv,efda1c4a6949faaa829d56349c53b8a81d8ac34e5adfbf70fbd9feb818021088,Messaging,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_155823_messaging_001_2056,data\raw\metadata\20260823_155823_messaging_001_2056.csv,a428e60d0caaecbacdc5296daacd1c41e3cd7dd005078f029b1175dfae24d100,Messaging,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_160152_messaging_001_2144,data\raw\metadata\20260823_160152_messaging_001_2144.csv,0253238d5416971d8d2ac526ed9478b41044dcea7d60c8c8a18754ba707bf88e,Messaging,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_160304_messaging_001_b4de,data\raw\metadata\20260823_160304_messaging_001_b4de.csv,0c58741e0da6870fea3e41018c283f4e872ec07a1707e1f01ffa32294be6d13a,Messaging,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_160438_messaging_001_3d1b,data\raw\metadata\20260823_160438_messaging_001_3d1b.csv,05a7e506f031a7ef7f15237247b3ab63733e8c84e5557c40179fb52519a74889,Messaging,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_160546_messaging_001_240e,data\raw\metadata\20260823_160546_messaging_001_240e.csv,5e9768253c215ce33621fed70e52c231fd5c59460eda612b4a3f4b2f8f857c75,Messaging,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_160655_messaging_001_72b1,data\raw\metadata\20260823_160655_messaging_001_72b1.csv,e3da78b8010d64ae7153642025b1961b5c4307bb45cb6817095cfaa60a863cfb,Messaging,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_160828_messaging_001_7f33,data\raw\metadata\20260823_160828_messaging_001_7f33.csv,d9f74540fb75d0de6f68a98ba4f1c9fc7d0cfcde764c1d9117403a25b319f9f7,Messaging,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_160947_messaging_001_869a,data\raw\metadata\20260823_160947_messaging_001_869a.csv,3fe1cf6d548bcda8149fe754d50c71f45f2f48eafd7e485c29df2698658474bd,Messaging,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_161053_messaging_001_e319,data\raw\metadata\20260823_161053_messaging_001_e319.csv,1e8cfc780a370d6811eb37cf48fc41d79a7cc2644ea19da2a6cd4faabf318076,Messaging,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_161401_voip_001_b89f,data\raw\metadata\20260823_161401_voip_001_b89f.csv,42ecd06c805c0ab80bc22656bea42a63af9496186da683903e048f40520a77b2,VoIP,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_161509_voip_001_9812,data\raw\metadata\20260823_161509_voip_001_9812.csv,ac7533b23dad3c7ec0e4f36b94fac789bf11e85f3bfea4c597e8987c3c784c0b,VoIP,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_161649_voip_001_c01e,data\raw\metadata\20260823_161649_voip_001_c01e.csv,89c5c92d4b2b9d54059f4af76ca85cdcefc24793ff5fc5e726bfdeaef3059e53,VoIP,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_161758_voip_001_0549,data\raw\metadata\20260823_161758_voip_001_0549.csv,47ea8b02964e7af9445b41e5fdee40dbd0209b6d569319d26f28b187414b4a7d,VoIP,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_161916_voip_001_7fd9,data\raw\metadata\20260823_161916_voip_001_7fd9.csv,cdd6afd1d0da390d9e2e596c30c718d5baf5bdea95926092e7477b5c57c8ddde,VoIP,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_162123_voip_001_51e2,data\raw\metadata\20260823_162123_voip_001_51e2.csv,9af2d8be7d16e7b68eaca67ca88aa703d800d4a504d43ee79fd993e96d06ed38,VoIP,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_162302_voip_001_6194,data\raw\metadata\20260823_162302_voip_001_6194.csv,7feffeb0f3069d23c07e550f325de7ced4edde5382e63ffbaf348b9b75592762,VoIP,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_162426_voip_001_9219,data\raw\metadata\20260823_162426_voip_001_9219.csv,56b97bdd836ee33d15721bbd1ae03e1ab2b45bd303f8073b5790fe4e3f4357e7,VoIP,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_162544_voip_001_9fd7,data\raw\metadata\20260823_162544_voip_001_9fd7.csv,15f38a1de51be9e81c54333574fd3f7b70a5992235554f21409833b0c67239d0,VoIP,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_162704_voip_001_571e,data\raw\metadata\20260823_162704_voip_001_571e.csv,bb8aeba56f8209b1d59e4ee1a1831558c4863525d2f87cda1440c1069b775a5c,VoIP,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_162946_file_transfer_001_5b75,data\raw\metadata\20260823_162946_file_transfer_001_5b75.csv,98709fdd67ec28a792910694468b981da5b4da1a79bbf4959a73826e8436cb34,File Transfer,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_163126_file_transfer_001_bea6,data\raw\metadata\20260823_163126_file_transfer_001_bea6.csv,0111c21356d1b2fcba553fa46ee52da6038b3270d551c635a3eb8b1d783a460a,File Transfer,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_163237_file_transfer_001_390f,data\raw\metadata\20260823_163237_file_transfer_001_390f.csv,ef052d7938ef3fa4c16cf8141fec53a2a6efb0174d173354179c830dedab0142,File Transfer,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_163447_file_transfer_001_d03c,data\raw\metadata\20260823_163447_file_transfer_001_d03c.csv,a3fee94e72c5dd6e33ab1a9d8bf37c55df9934187391c3d7ab571d98c515500e,File Transfer,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_163557_file_transfer_001_aa30,data\raw\metadata\20260823_163557_file_transfer_001_aa30.csv,9f853ad684fb8836a94c31e7b323262eeec36aeb8f4bd75a68ff2e510bc0c454,File Transfer,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_163704_file_transfer_001_2090,data\raw\metadata\20260823_163704_file_transfer_001_2090.csv,c69dbafe184348b62e235f17ea4230dafc55785f0197017066f449e41c2c6f91,File Transfer,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_163829_file_transfer_001_a40b,data\raw\metadata\20260823_163829_file_transfer_001_a40b.csv,49ff32e7804a7cd561a9c8fbd90a1782b9cb8b3dd52c83b364714da057a6b713,File Transfer,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_163936_file_transfer_001_3420,data\raw\metadata\20260823_163936_file_transfer_001_3420.csv,5034ed09eda47b154ed6b081adefc566ba6bd74e3841050aea5b82e1f70100b4,File Transfer,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_164056_file_transfer_001_1a06,data\raw\metadata\20260823_164056_file_transfer_001_1a06.csv,a178842cc6c8e9f643d611e73a3ef487ca41653bbe7632f8f5e96a0a2748640e,File Transfer,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_164203_file_transfer_001_0aa3,data\raw\metadata\20260823_164203_file_transfer_001_0aa3.csv,8b27f5a5ceea659921fa0dc013cb058ee7bf3defdd3c4bac38dfdcbed3bd0e5d,File Transfer,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_164647_other_001_d4e4,data\raw\metadata\20260823_164647_other_001_d4e4.csv,d161c4ab3070b9cdb41d24c16113016b39dd3e6e6a1466af355660dcff224694,Other,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_164826_other_001_eac8,data\raw\metadata\20260823_164826_other_001_eac8.csv,4959430a85b3ac7ef81b2d6273a1d53d3e0ec51bdd7a7a77b3272e649883fc46,Other,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_164938_other_001_7ffe,data\raw\metadata\20260823_164938_other_001_7ffe.csv,a51c529c797f095eb08c1c5f26a3c11a2178cec89ee757fdf0d01f00694814cf,Other,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_165157_other_001_2876,data\raw\metadata\20260823_165157_other_001_2876.csv,ebd1019729b194c52a3229f1739b571bbbc2b20e2566d058e29a6a30c1f42be4,Other,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_165837_other_001_2277,data\raw\metadata\20260823_165837_other_001_2277.csv,d04942243155b59b0d2d4febf6984e1c4a08af2ee5d0a110e1ca794ec77468f3,Other,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_170006_other_001_2088,data\raw\metadata\20260823_170006_other_001_2088.csv,533a287e6874ee731cd633b3275e2d035d7edc5c3380ad6e3fa13c0d5973d661,Other,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_170113_other_001_b130,data\raw\metadata\20260823_170113_other_001_b130.csv,6c17f968d1b5b9b3ba7b51d1ad862d278bc860ccd7a2a81638da9d9c5bf97048,Other,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_170246_other_001_fe56,data\raw\metadata\20260823_170246_other_001_fe56.csv,9a6ff9aa32dd3f1b3e31bcaebcaf9fd6aeaca95d274e55bdc5b6756ade2bc26f,Other,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_170352_other_001_facf,data\raw\metadata\20260823_170352_other_001_facf.csv,35b22e1fb7862dad949539058683411542f91886ef3e3d75c476f5d05b2aa5c9,Other,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_170458_other_001_aa7d,data\raw\metadata\20260823_170458_other_001_aa7d.csv,39ad1e120c9e19adce64421102558ce380cb72d707d7f444fc9c67fdc4517063,Other,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
