feature_1,feature_2,pearson_corr,spearman_corr,abs_pearson,highly_correlated
iat_std,fwd_bwd_byte_ratio,-0.2612,-0.9140,0.2612,YES
min_packet_size,max_iat,-0.2582,0.0919,0.2582,NO
iat_std,avg_burst_bytes,-0.2453,-0.9338,0.2453,YES
forward_packet_count,min_iat,-0.2436,-0.3618,0.2436,NO
total_packet_count,min_iat,-0.2436,-0.3618,0.2436,NO
min_iat,fwd_bwd_packet_ratio,-0.2436,-0.3618,0.2436,NO
min_packet_size,min_iat,-0.2414,-0.4578,0.2414,NO
forward_bytes,min_iat,-0.2403,-0.4867,0.2403,NO
total_bytes,min_iat,-0.2403,-0.4867,0.2403,NO
min_iat,fwd_bwd_byte_ratio,-0.2403,-0.4867,0.2403,NO
forward_packet_count,dst_port,0.2368,-0.0135,0.2368,NO
total_packet_count,dst_port,0.2368,-0.0135,0.2368,NO
fwd_bwd_packet_ratio,dst_port,0.2368,-0.0135,0.2368,NO
max_iat,avg_burst_bytes,-0.2313,-0.5620,0.2313,NO
packet_size_variance,median_iat,-0.2249,-0.3073,0.2249,NO
forward_bytes,max_iat,-0.2197,-0.5218,0.2197,NO
total_bytes,max_iat,-0.2197,-0.5218,0.2197,NO
max_iat,fwd_bwd_byte_ratio,-0.2197,-0.5218,0.2197,NO
min_packet_size,dst_port,0.2180,0.7885,0.2180,NO
packet_size_variance,mean_iat,-0.2142,-0.1756,0.2142,NO
min_iat,avg_burst_packets,-0.2111,-0.3594,0.2111,NO
forward_packet_count,mean_iat,-0.2095,-0.9996,0.2095,YES
total_packet_count,mean_iat,-0.2095,-0.9996,0.2095,YES
mean_iat,fwd_bwd_packet_ratio,-0.2095,-0.9996,0.2095,YES
avg_burst_bytes,dst_port,0.2094,0.0866,0.2094,NO
avg_packet_size,median_iat,-0.2091,-0.5821,0.2091,NO
min_iat,avg_burst_bytes,-0.2077,-0.4692,0.2077,NO
max_packet_size,packet_size_variance,0.2056,0.2973,0.2056,NO
packet_size_variance,iat_std,-0.1953,-0.1218,0.1953,NO
mean_iat,avg_burst_packets,-0.1880,-0.9342,0.1880,YES
avg_burst_packets,dst_port,0.1850,-0.0509,0.1850,NO
max_packet_size,burst_count,0.1807,0.1844,0.1807,NO
flow_duration,burst_count,0.1795,0.0143,0.1795,NO
forward_bytes,mean_iat,-0.1784,-0.9588,0.1784,YES
total_bytes,mean_iat,-0.1784,-0.9588,0.1784,YES
mean_iat,fwd_bwd_byte_ratio,-0.1784,-0.9588,0.1784,YES
burst_count,protocol,-0.1743,0.4784,0.1743,NO
min_iat,burst_count,0.1735,0.2805,0.1735,NO
mean_iat,avg_burst_bytes,-0.1640,-0.9397,0.1640,YES
flow_duration,packet_size_variance,0.1632,0.0278,0.1632,NO
avg_packet_size,min_packet_size,0.1605,0.5508,0.1605,NO
packet_size_variance,protocol,-0.1551,-0.0334,0.1551,NO
iat_std,burst_count,0.1438,0.6379,0.1438,NO
avg_packet_size,max_packet_size,0.1306,0.4596,0.1306,NO
forward_packet_count,median_iat,-0.1244,-0.9017,0.1244,YES
total_packet_count,median_iat,-0.1244,-0.9017,0.1244,YES
median_iat,fwd_bwd_packet_ratio,-0.1244,-0.9017,0.1244,YES
protocol,dst_port,0.1228,0.4252,0.1228,NO
median_iat,dst_port,0.1187,0.0047,0.1187,NO
flow_duration,dst_port,-0.1154,0.0556,0.1154,NO
packet_size_variance,max_iat,-0.1127,0.0218,0.1127,NO
flow_duration,avg_packet_size,0.1117,0.0643,0.1117,NO
median_iat,avg_burst_packets,-0.1086,-0.7782,0.1086,NO
min_iat,max_iat,0.1073,0.1963,0.1073,NO
median_iat,burst_count,-0.1028,0.3209,0.1028,NO
forward_bytes,median_iat,-0.1012,-0.9103,0.1012,YES
total_bytes,median_iat,-0.1012,-0.9103,0.1012,YES
median_iat,fwd_bwd_byte_ratio,-0.1012,-0.9103,0.1012,YES
avg_packet_size,protocol,-0.0943,-0.0709,0.0943,NO
median_iat,avg_burst_bytes,-0.0919,-0.8509,0.0919,NO
max_packet_size,dst_port,-0.0854,0.2351,0.0854,NO
iat_std,min_iat,0.0842,0.3688,0.0842,NO
min_iat,protocol,-0.0799,0.3101,0.0799,NO
mean_iat,dst_port,0.0743,0.0144,0.0743,NO
flow_duration,min_iat,0.0706,-0.0494,0.0706,NO
burst_count,dst_port,-0.0689,0.0929,0.0689,NO
max_iat,dst_port,0.0681,0.1102,0.0681,NO
forward_packet_count,max_packet_size,0.0591,0.4109,0.0591,NO
total_packet_count,max_packet_size,0.0591,0.4109,0.0591,NO
max_packet_size,fwd_bwd_packet_ratio,0.0591,0.4109,0.0591,NO
packet_size_variance,burst_count,0.0556,0.0808,0.0556,NO
max_packet_size,avg_burst_packets,0.0496,0.2325,0.0496,NO
iat_std,dst_port,0.0479,0.0366,0.0479,NO
forward_packet_count,packet_size_variance,-0.0476,0.1750,0.0476,NO
total_packet_count,packet_size_variance,-0.0476,0.1750,0.0476,NO
packet_size_variance,fwd_bwd_packet_ratio,-0.0476,0.1750,0.0476,NO
forward_bytes,max_packet_size,0.0468,0.4462,0.0468,NO
total_bytes,max_packet_size,0.0468,0.4462,0.0468,NO
max_packet_size,fwd_bwd_byte_ratio,0.0468,0.4462,0.0468,NO
mean_iat,min_iat,0.0451,0.3631,0.0451,NO
forward_packet_count,protocol,-0.0431,-0.2499,0.0431,NO
total_packet_count,protocol,-0.0431,-0.2499,0.0431,NO
fwd_bwd_packet_ratio,protocol,-0.0431,-0.2499,0.0431,NO
max_packet_size,avg_burst_bytes,0.0422,0.3351,0.0422,NO
flow_duration,forward_packet_count,0.0385,0.2099,0.0385,NO
flow_duration,total_packet_count,0.0385,0.2099,0.0385,NO
flow_duration,fwd_bwd_packet_ratio,0.0385,0.2099,0.0385,NO
forward_bytes,packet_size_variance,-0.0372,0.3825,0.0372,NO
total_bytes,packet_size_variance,-0.0372,0.3825,0.0372,NO
packet_size_variance,fwd_bwd_byte_ratio,-0.0372,0.3825,0.0372,NO
avg_burst_packets,protocol,-0.0352,-0.3715,0.0352,NO
forward_bytes,protocol,-0.0315,-0.2187,0.0315,NO
total_bytes,protocol,-0.0315,-0.2187,0.0315,NO
fwd_bwd_byte_ratio,protocol,-0.0315,-0.2187,0.0315,NO
flow_duration,avg_burst_packets,0.0288,0.1361,0.0288,NO
avg_burst_bytes,protocol,-0.0282,-0.2975,0.0282,NO
packet_size_variance,avg_burst_packets,0.0266,0.1212,0.0266,NO
flow_duration,forward_bytes,0.0263,0.1775,0.0263,NO
flow_duration,total_bytes,0.0263,0.1775,0.0263,NO
flow_duration,fwd_bwd_byte_ratio,0.0263,0.1775,0.0263,NO
median_iat,min_iat,-0.0221,0.3033,0.0221,NO
flow_duration,avg_burst_bytes,0.0201,0.1420,0.0201,NO
mean_iat,burst_count,0.0190,0.5254,0.0190,NO
forward_bytes,min_packet_size,0.0175,0.1726,0.0175,NO
total_bytes,min_packet_size,0.0175,0.1726,0.0175,NO
min_packet_size,fwd_bwd_byte_ratio,0.0175,0.1726,0.0175,NO
min_packet_size,avg_burst_packets,-0.0159,-0.1018,0.0159,NO
max_packet_size,min_iat,-0.0092,-0.0964,0.0092,NO
packet_size_variance,avg_burst_bytes,0.0086,0.3366,0.0086,NO
forward_packet_count,min_packet_size,0.0063,0.0298,0.0063,NO
total_packet_count,min_packet_size,0.0063,0.0298,0.0063,NO
min_packet_size,fwd_bwd_packet_ratio,0.0063,0.0298,0.0063,NO
min_packet_size,avg_burst_bytes,0.0004,0.0674,0.0004,NO
flow_duration,backward_packet_count,0.0000,0.0649,0.0000,NO
flow_duration,backward_bytes,0.0000,0.0649,0.0000,NO
flow_duration,tls_version,0.0000,0.0649,0.0000,NO
flow_duration,tls_cipher_suites_count,0.0000,0.0649,0.0000,NO
flow_duration,tls_extensions_count,0.0000,0.0649,0.0000,NO
flow_duration,tls_sni_present,0.0000,0.0649,0.0000,NO
forward_packet_count,backward_packet_count,0.0000,-0.2351,0.0000,NO
forward_packet_count,backward_bytes,0.0000,-0.2351,0.0000,NO
forward_packet_count,tls_version,0.0000,-0.2351,0.0000,NO
forward_packet_count,tls_cipher_suites_count,0.0000,-0.2351,0.0000,NO
forward_packet_count,tls_extensions_count,0.0000,-0.2351,0.0000,NO
forward_packet_count,tls_sni_present,0.0000,-0.2351,0.0000,NO
backward_packet_count,total_packet_count,0.0000,-0.2351,0.0000,NO
backward_packet_count,forward_bytes,0.0000,-0.2036,0.0000,NO
backward_packet_count,backward_bytes,0.0000,1.0000,0.0000,YES
backward_packet_count,total_bytes,0.0000,-0.2036,0.0000,NO
backward_packet_count,avg_packet_size,0.0000,-0.0559,0.0000,NO
backward_packet_count,min_packet_size,0.0000,0.5421,0.0000,NO
backward_packet_count,max_packet_size,0.0000,0.4215,0.0000,NO
backward_packet_count,packet_size_variance,0.0000,-0.0189,0.0000,NO
backward_packet_count,mean_iat,0.0000,0.2370,0.0000,NO
backward_packet_count,median_iat,0.0000,0.1436,0.0000,NO
backward_packet_count,iat_std,0.0000,0.3006,0.0000,NO
backward_packet_count,min_iat,0.0000,0.3161,0.0000,NO
backward_packet_count,max_iat,0.0000,0.2260,0.0000,NO
backward_packet_count,fwd_bwd_packet_ratio,0.0000,-0.2351,0.0000,NO
backward_packet_count,fwd_bwd_byte_ratio,0.0000,-0.2036,0.0000,NO
backward_packet_count,burst_count,0.0000,0.4945,0.0000,NO
backward_packet_count,avg_burst_bytes,0.0000,-0.2833,0.0000,NO
backward_packet_count,avg_burst_packets,0.0000,-0.3579,0.0000,NO
backward_packet_count,protocol,0.0000,0.9962,0.0000,YES
backward_packet_count,dst_port,0.0000,0.4152,0.0000,NO
backward_packet_count,tls_version,0.0000,1.0000,0.0000,YES
backward_packet_count,tls_cipher_suites_count,0.0000,1.0000,0.0000,YES
backward_packet_count,tls_extensions_count,0.0000,1.0000,0.0000,YES
backward_packet_count,tls_sni_present,0.0000,1.0000,0.0000,YES
total_packet_count,backward_bytes,0.0000,-0.2351,0.0000,NO
total_packet_count,tls_version,0.0000,-0.2351,0.0000,NO
total_packet_count,tls_cipher_suites_count,0.0000,-0.2351,0.0000,NO
total_packet_count,tls_extensions_count,0.0000,-0.2351,0.0000,NO
total_packet_count,tls_sni_present,0.0000,-0.2351,0.0000,NO
forward_bytes,backward_bytes,0.0000,-0.2036,0.0000,NO
forward_bytes,tls_version,0.0000,-0.2036,0.0000,NO
forward_bytes,tls_cipher_suites_count,0.0000,-0.2036,0.0000,NO
forward_bytes,tls_extensions_count,0.0000,-0.2036,0.0000,NO
forward_bytes,tls_sni_present,0.0000,-0.2036,0.0000,NO
backward_bytes,total_bytes,0.0000,-0.2036,0.0000,NO
backward_bytes,avg_packet_size,0.0000,-0.0559,0.0000,NO
backward_bytes,min_packet_size,0.0000,0.5421,0.0000,NO
backward_bytes,max_packet_size,0.0000,0.4215,0.0000,NO
backward_bytes,packet_size_variance,0.0000,-0.0189,0.0000,NO
backward_bytes,mean_iat,0.0000,0.2370,0.0000,NO
backward_bytes,median_iat,0.0000,0.1436,0.0000,NO
backward_bytes,iat_std,0.0000,0.3006,0.0000,NO
backward_bytes,min_iat,0.0000,0.3161,0.0000,NO
backward_bytes,max_iat,0.0000,0.2260,0.0000,NO
backward_bytes,fwd_bwd_packet_ratio,0.0000,-0.2351,0.0000,NO
backward_bytes,fwd_bwd_byte_ratio,0.0000,-0.2036,0.0000,NO
backward_bytes,burst_count,0.0000,0.4945,0.0000,NO
backward_bytes,avg_burst_bytes,0.0000,-0.2833,0.0000,NO
backward_bytes,avg_burst_packets,0.0000,-0.3579,0.0000,NO
backward_bytes,protocol,0.0000,0.9962,0.0000,YES
backward_bytes,dst_port,0.0000,0.4152,0.0000,NO
backward_bytes,tls_version,0.0000,1.0000,0.0000,YES
backward_bytes,tls_cipher_suites_count,0.0000,1.0000,0.0000,YES
backward_bytes,tls_extensions_count,0.0000,1.0000,0.0000,YES
backward_bytes,tls_sni_present,0.0000,1.0000,0.0000,YES
total_bytes,tls_version,0.0000,-0.2036,0.0000,NO
total_bytes,tls_cipher_suites_count,0.0000,-0.2036,0.0000,NO
total_bytes,tls_extensions_count,0.0000,-0.2036,0.0000,NO
total_bytes,tls_sni_present,0.0000,-0.2036,0.0000,NO
avg_packet_size,tls_version,0.0000,-0.0559,0.0000,NO
avg_packet_size,tls_cipher_suites_count,0.0000,-0.0559,0.0000,NO
avg_packet_size,tls_extensions_count,0.0000,-0.0559,0.0000,NO
avg_packet_size,tls_sni_present,0.0000,-0.0559,0.0000,NO
min_packet_size,tls_version,0.0000,0.5421,0.0000,NO
min_packet_size,tls_cipher_suites_count,0.0000,0.5421,0.0000,NO
min_packet_size,tls_extensions_count,0.0000,0.5421,0.0000,NO
min_packet_size,tls_sni_present,0.0000,0.5421,0.0000,NO
max_packet_size,tls_version,0.0000,0.4215,0.0000,NO
max_packet_size,tls_cipher_suites_count,0.0000,0.4215,0.0000,NO
max_packet_size,tls_extensions_count,0.0000,0.4215,0.0000,NO
max_packet_size,tls_sni_present,0.0000,0.4215,0.0000,NO
packet_size_variance,tls_version,0.0000,-0.0189,0.0000,NO
packet_size_variance,tls_cipher_suites_count,0.0000,-0.0189,0.0000,NO
packet_size_variance,tls_extensions_count,0.0000,-0.0189,0.0000,NO
packet_size_variance,tls_sni_present,0.0000,-0.0189,0.0000,NO
mean_iat,tls_version,0.0000,0.2370,0.0000,NO
mean_iat,tls_cipher_suites_count,0.0000,0.2370,0.0000,NO
mean_iat,tls_extensions_count,0.0000,0.2370,0.0000,NO
mean_iat,tls_sni_present,0.0000,0.2370,0.0000,NO
median_iat,tls_version,0.0000,0.1436,0.0000,NO
median_iat,tls_cipher_suites_count,0.0000,0.1436,0.0000,NO
median_iat,tls_extensions_count,0.0000,0.1436,0.0000,NO
median_iat,tls_sni_present,0.0000,0.1436,0.0000,NO
iat_std,tls_version,0.0000,0.3006,0.0000,NO
iat_std,tls_cipher_suites_count,0.0000,0.3006,0.0000,NO
iat_std,tls_extensions_count,0.0000,0.3006,0.0000,NO
iat_std,tls_sni_present,0.0000,0.3006,0.0000,NO
min_iat,tls_version,0.0000,0.3161,0.0000,NO
min_iat,tls_cipher_suites_count,0.0000,0.3161,0.0000,NO
min_iat,tls_extensions_count,0.0000,0.3161,0.0000,NO
min_iat,tls_sni_present,0.0000,0.3161,0.0000,NO
max_iat,tls_version,0.0000,0.2260,0.0000,NO
max_iat,tls_cipher_suites_count,0.0000,0.2260,0.0000,NO
max_iat,tls_extensions_count,0.0000,0.2260,0.0000,NO
max_iat,tls_sni_present,0.0000,0.2260,0.0000,NO
fwd_bwd_packet_ratio,tls_version,0.0000,-0.2351,0.0000,NO
fwd_bwd_packet_ratio,tls_cipher_suites_count,0.0000,-0.2351,0.0000,NO
fwd_bwd_packet_ratio,tls_extensions_count,0.0000,-0.2351,0.0000,NO
fwd_bwd_packet_ratio,tls_sni_present,0.0000,-0.2351,0.0000,NO
fwd_bwd_byte_ratio,tls_version,0.0000,-0.2036,0.0000,NO
fwd_bwd_byte_ratio,tls_cipher_suites_count,0.0000,-0.2036,0.0000,NO
fwd_bwd_byte_ratio,tls_extensions_count,0.0000,-0.2036,0.0000,NO
fwd_bwd_byte_ratio,tls_sni_present,0.0000,-0.2036,0.0000,NO
burst_count,tls_version,0.0000,0.4945,0.0000,NO
burst_count,tls_cipher_suites_count,0.0000,0.4945,0.0000,NO
burst_count,tls_extensions_count,0.0000,0.4945,0.0000,NO
burst_count,tls_sni_present,0.0000,0.4945,0.0000,NO
avg_burst_bytes,tls_version,0.0000,-0.2833,0.0000,NO
avg_burst_bytes,tls_cipher_suites_count,0.0000,-0.2833,0.0000,NO
avg_burst_bytes,tls_extensions_count,0.0000,-0.2833,0.0000,NO
avg_burst_bytes,tls_sni_present,0.0000,-0.2833,0.0000,NO
avg_burst_packets,tls_version,0.0000,-0.3579,0.0000,NO
avg_burst_packets,tls_cipher_suites_count,0.0000,-0.3579,0.0000,NO
avg_burst_packets,tls_extensions_count,0.0000,-0.3579,0.0000,NO
avg_burst_packets,tls_sni_present,0.0000,-0.3579,0.0000,NO
protocol,tls_version,0.0000,0.9962,0.0000,YES
protocol,tls_cipher_suites_count,0.0000,0.9962,0.0000,YES
protocol,tls_extensions_count,0.0000,0.9962,0.0000,YES
protocol,tls_sni_present,0.0000,0.9962,0.0000,YES
dst_port,tls_version,0.0000,0.4152,0.0000,NO
dst_port,tls_cipher_suites_count,0.0000,0.4152,0.0000,NO
dst_port,tls_extensions_count,0.0000,0.4152,0.0000,NO
dst_port,tls_sni_present,0.0000,0.4152,0.0000,NO
tls_version,tls_cipher_suites_count,0.0000,1.0000,0.0000,YES
tls_version,tls_extensions_count,0.0000,1.0000,0.0000,YES
tls_version,tls_sni_present,0.0000,1.0000,0.0000,YES
tls_cipher_suites_count,tls_extensions_count,0.0000,1.0000,0.0000,YES
tls_cipher_suites_count,tls_sni_present,0.0000,1.0000,0.0000,YES
tls_extensions_count,tls_sni_present,0.0000,1.0000,0.0000,YES
